hv001,hv002,total_household_members,hv010,hv011,hv012,hv014,hv024,hv025,hv027,financial_depriv,electricity_depriv,water_depriv,sanitation_depriv,cooking_fuel_depriv,floor_depriv,information_asset,mobility_asset,livelihood_asset,asset_depriv,hv108,malnutrition,child_under_5,woman_15_to_49,child_not_in_school,school_attainment_depriv,school_attendance_depriv,child_mortailty,total_of_weighted_deprivations,headcount_poor,total_poverty_intensity,DHSID_num,ADM1NAME,LATNUM,LONGNUM,Nightlights_Composite,All_Population_Density_2015,BUILT_Population_2014,geometry,index_right,LOCAL_AUTH,DISTRICT_N,DIST_NAME_,DIST_NM_LA,PROVINCEPC,PROVNAMEFU,DISTRICTPC,STATUS,NOOFWARDS,HRName,HRPCode,HRParent
1,1,8,2,2,8,1,3,2,1,1,1,1,0,1,0,1,1,1,0,4,1.0,1,1,0,0,0,0.0,0.33333333333333337,8,2.666666666666667,1,Mashonaland East,-17.303925,31.888711,0.002814567,48.46884743,0.003544021,POINT (31.888711 -17.303925),56,ZvataidaRDC,Uzumba Maramba Pfungwe,UzumbaMarambaPfungwe,UMP,13,Mashonaland East,1309,Rural,17,UzumbaMarambaPfungwe,ZW1309,ZW13
1,2,6,1,2,6,2,3,2,1,1,1,1,1,1,0,1,0,1,0,3,0.0,1,1,0,0,0,0.0,0.2222222222222222,0,0.0,1,Mashonaland East,-17.303925,31.888711,0.002814567,48.46884743,0.003544021,POINT (31.888711 -17.303925),56,ZvataidaRDC,Uzumba Maramba Pfungwe,UzumbaMarambaPfungwe,UMP,13,Mashonaland East,1309,Rural,17,UzumbaMarambaPfungwe,ZW1309,ZW13
1,4,5,1,1,5,3,3,2,1,1,1,0,0,1,0,1,0,1,0,2,0.0,1,1,0,0,0,0.0,0.1111111111111111,0,0.0,1,Mashonaland East,-17.303925,31.888711,0.002814567,48.46884743,0.003544021,POINT (31.888711 -17.303925),56,ZvataidaRDC,Uzumba Maramba Pfungwe,UzumbaMarambaPfungwe,UMP,13,Mashonaland East,1309,Rural,17,UzumbaMarambaPfungwe,ZW1309,ZW13
1,5,6,1,1,6,2,3,2,1,1,1,1,1,1,1,1,0,1,0,2,0.0,1,1,0,0,0,0.0,0.2777777777777778,0,0.0,1,Mashonaland East,-17.303925,31.888711,0.002814567,48.46884743,0.003544021,POINT (31.888711 -17.303925),56,ZvataidaRDC,Uzumba Maramba Pfungwe,UzumbaMarambaPfungwe,UMP,13,Mashonaland East,1309,Rural,17,UzumbaMarambaPfungwe,ZW1309,ZW13
1,6,4,1,0,4,1,3,2,1,1,1,1,0,1,0,1,0,1,0,2,0.0,1,1,0,0,0,0.0,0.16666666666666666,0,0.0,1,Mashonaland East,-17.303925,31.888711,0.002814567,48.46884743,0.003544021,POINT (31.888711 -17.303925),56,ZvataidaRDC,Uzumba Maramba Pfungwe,UzumbaMarambaPfungwe,UMP,13,Mashonaland East,1309,Rural,17,UzumbaMarambaPfungwe,ZW1309,ZW13
1,7,4,1,1,4,1,3,2,1,1,1,0,1,1,0,1,1,1,0,2,0.0,1,1,0,0,0,0.0,0.16666666666666666,0,0.0,1,Mashonaland East,-17.303925,31.888711,0.002814567,48.46884743,0.003544021,POINT (31.888711 -17.303925),56,ZvataidaRDC,Uzumba Maramba Pfungwe,UzumbaMarambaPfungwe,UMP,13,Mashonaland East,1309,Rural,17,UzumbaMarambaPfungwe,ZW1309,ZW13
1,10,4,1,0,4,1,3,2,1,1,1,1,1,1,1,1,1,1,0,1,0.0,1,1,0,0,0,0.0,0.2777777777777778,0,0.0,1,Mashonaland East,-17.303925,31.888711,0.002814567,48.46884743,0.003544021,POINT (31.888711 -17.303925),56,ZvataidaRDC,Uzumba Maramba Pfungwe,UzumbaMarambaPfungwe,UMP,13,Mashonaland East,1309,Rural,17,UzumbaMarambaPfungwe,ZW1309,ZW13
1,11,5,1,1,4,1,3,2,1,1,1,1,1,1,1,1,0,1,0,3,0.0,0,1,0,0,0,0.0,0.2777777777777778,0,0.0,1,Mashonaland East,-17.303925,31.888711,0.002814567,48.46884743,0.003544021,POINT (31.888711 -17.303925),56,ZvataidaRDC,Uzumba Maramba Pfungwe,UzumbaMarambaPfungwe,UMP,13,Mashonaland East,1309,Rural,17,UzumbaMarambaPfungwe,ZW1309,ZW13
1,13,1,1,0,1,0,3,2,1,1,1,1,1,1,1,0,0,1,1,1,0.0,0,1,0,0,0,0.0,0.33333333333333337,1,0.33333333333333337,1,Mashonaland East,-17.303925,31.888711,0.002814567,48.46884743,0.003544021,POINT (31.888711 -17.303925),56,ZvataidaRDC,Uzumba Maramba Pfungwe,UzumbaMarambaPfungwe,UMP,13,Mashonaland East,1309,Rural,17,UzumbaMarambaPfungwe,ZW1309,ZW13
1,15,2,1,0,2,1,3,2,1,1,1,1,1,1,0,1,0,1,0,1,1.0,1,1,0,0,0,0.0,0.38888888888888895,2,0.7777777777777779,1,Mashonaland East,-17.303925,31.888711,0.002814567,48.46884743,0.003544021,POINT (31.888711 -17.303925),56,ZvataidaRDC,Uzumba Maramba Pfungwe,UzumbaMarambaPfungwe,UMP,13,Mashonaland East,1309,Rural,17,UzumbaMarambaPfungwe,ZW1309,ZW13
